BillingId,ProductId,SubProductId,PrimaryTerritory,SecondaryTerritory
1061960,1,0,100424,
1063740,1,0,100429,
1065290,1,0,100823,
1067570,1,0,100424,
1068260,1,0,100429,
1072590,1,0,100429,
1074090,1,0,100822,103294
1074100,1,0,,103294
1074140,1,0,,103294
1076170,1,0,100429,
1076670,1,0,103974,
1079410,1,0,100822,
1079460,1,0,103974,
1082091,1,0,100429,
1082280,1,0,100424,
1082670,1,0,100424,
1083160,1,0,100429,
1083301,1,0,100424,
1083610,1,0,100424,
1084080,1,0,103974,
1085021,1,0,100429,
1085220,1,0,100429,
1085330,1,0,100429,
1085781,1,0,100426,
1085881,1,0,100429,
1086430,1,0,,103284
1086460,1,0,100429,
1086680,1,0,100822,
1087040,1,0,100424,
1087591,1,0,100823,
1088261,1,0,100429,
1088790,1,0,103974,
1088961,1,0,100385,
1091030,1,0,100429,
1091071,1,0,103974,
1091290,1,0,100424,
1091321,1,0,100429,
1092181,1,0,100429,
1092610,1,0,100424,
1092650,1,0,100429,
1092721,1,0,100424,
1092731,1,0,100424,
1093171,1,0,100429,
1093431,1,0,100424,
1095531,1,0,100429,
1096060,1,0,100424,
1096340,1,0,100822,
1096421,1,0,100429,
1096510,1,0,100424,
1097181,1,0,100424,
1097830,1,0,107950,
1100340,1,0,103974,
1101460,1,0,100429,
1102490,1,0,103974,
1103691,1,0,100424,
1103930,1,0,100429,
1103981,1,0,,102873
1104521,1,0,100429,
1104680,1,0,100424,
1107830,1,0,100429,
1110860,1,0,100429,
1111720,1,0,100429,
1113130,1,0,103974,
1115090,1,0,100424,
1116240,1,0,100424,
1116810,1,0,100424,
1118890,1,0,103974,
1118960,1,0,,102873
1119200,1,0,100424,
1121580,1,0,103974,
1123650,1,0,100429,
1129270,1,0,100429,
1129730,1,0,,102873
1130240,1,0,100429,
1131660,1,0,100429,
1132130,1,0,100424,
1132940,1,0,100429,
1133280,1,0,103974,
1134880,1,0,100429,
1136110,1,0,100429,
1137520,1,0,100424,
1138370,1,0,,102867
1138640,1,0,100424,
1141090,1,0,100429,
1141520,1,0,100429,
1141740,1,0,100429,
1141830,1,0,100429,
1142150,1,0,100429,
1142210,1,0,100424,
1142750,1,0,100429,
1142810,1,0,100429,
1142940,1,0,100429,
1143870,1,0,100429,
1144450,1,0,100429,
1145510,1,0,100424,
1146130,1,0,100429,
1148660,1,0,100429,
1149130,1,0,100429,
1149370,1,0,100429,
1149970,1,0,100429,
1150070,1,0,100429,
1150510,1,0,100424,
1151630,1,0,102505,
1152960,1,0,100429,
1153770,1,0,,103294
1154140,1,0,100429,
1155000,1,0,100429,
1156160,1,0,100429,
1157150,1,0,100429,
