acct_no,product_id,sub_product_id,pri_terr,sec_terr
ST1086430,1,0,,103284
ST1086460,1,0,100429,
ST1086680,1,0,100822,
ST1087040,1,0,100424,
ST1087591,1,0,100823,
ST1088261,1,0,100429,
ST1088790,1,0,103974,
ST1088961,1,0,100385,
ST1091030,1,0,100429,
ST1091071,1,0,103974,
ST1091290,1,0,100424,
ST1091321,1,0,100429,
ST1092181,1,0,100429,
ST1092610,1,0,100424,
ST1092650,1,0,100429,
ST1092721,1,0,100424,
ST1092731,1,0,100424,
ST1093171,1,0,100429,
ST1093431,1,0,100424,
ST1095531,1,0,100429,
ST1096060,1,0,100424,
ST1096340,1,0,100822,
ST1096421,1,0,100429,
ST1096510,1,0,100424,
ST1097181,1,0,100424,
ST1097830,1,0,107950,
ST1100340,1,0,103974,
ST1101460,1,0,100429,
ST1102490,1,0,103974,
ST1103691,1,0,100424,
ST1103930,1,0,100429,
ST1103981,1,0,,102873
ST1104521,1,0,100429,
ST1104680,1,0,100424,
ST1107830,1,0,100429,
ST1110860,1,0,100429,
ST1111720,1,0,100429,
ST1113130,1,0,103974,
ST1115090,1,0,100424,
ST1116240,1,0,100424,
ST1116810,1,0,100424,
ST1118890,1,0,103974,
ST1118960,1,0,,102873
ST1119200,1,0,100424,
ST1121580,1,0,103974,
ST1123650,1,0,100429,
ST1129270,1,0,100429,
ST1129730,1,0,,102873
ST1130240,1,0,100429,
ST1131660,1,0,100429,
ST1132130,1,0,100424,
ST1132940,1,0,100429,
ST1133280,1,0,103974,
ST1134880,1,0,100429,
ST1136110,1,0,100429,
ST1137520,1,0,100424,
ST1138370,1,0,,102867
ST1138640,1,0,100424,
ST1141090,1,0,100429,
ST1141520,1,0,100429,
ST1141740,1,0,100429,
ST1141830,1,0,100429,
ST1142150,1,0,100429,
ST1142210,1,0,100424,
ST1142750,1,0,100429,
ST1142810,1,0,100429,
ST1142940,1,0,100429,
ST1143870,1,0,100429,
ST1144450,1,0,100429,
ST1145510,1,0,100424,
ST1146130,1,0,100429,
ST1148660,1,0,100429,
ST1149130,1,0,100429,
ST1149370,1,0,100429,
ST1149970,1,0,100429,
ST1150070,1,0,100429,
ST1150510,1,0,100424,
ST1151630,1,0,102505,
ST1152960,1,0,100429,
ST1153770,1,0,,103294
ST1154140,1,0,100429,
ST1155000,1,0,100429,
ST1156160,1,0,100429,
ST1157150,1,0,100429,
ST1157240,1,0,100424,
ST1157560,1,0,100424,
ST1158520,1,0,100429,
ST1159390,1,0,100429,
ST1159740,1,0,103974,
ST1159760,1,0,100429,
ST1159990,1,0,100429,
ST1160360,1,0,100429,
ST1160550,1,0,100429,
ST1161050,1,0,100424,
ST1161350,1,0,100429,
ST1161750,1,0,100429,
ST1162290,1,0,100424,
ST1164570,1,0,100424,
